time,date,session,direction,model,score,grade,should_trade,kill_switches,price,price_zone,sweep,sweep_fresh,rsi_m15,cot_pct,atr,news_blocked,news_reason,result,pnl_pips,bars_held,exit_time,tp1_hit,tp2_hit,entry,sl,sl_pips,tp1,tp2,tp3,tag
2026-03-05 21:05:00,2026-03-05,new_york,buy,fvg_continuation,72.4,STRONG,True,[],5078.32,discount,bullish,True,41.05,80.7,33.48918,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-05 21:10:00,2026-03-05,new_york,buy,fvg_continuation,72.4,STRONG,True,[],5075.23,discount,bullish,True,41.05,80.7,33.48918,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-05 21:15:00,2026-03-05,new_york,buy,fvg_continuation,72.4,STRONG,True,[],5067.84,discount,bullish,True,41.05,80.7,33.48918,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-05 21:20:00,2026-03-05,new_york,buy,fvg_continuation,71.9,STRONG,True,[],5068.07,discount,bullish,True,38.86,80.7,33.48918,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-05 21:25:00,2026-03-05,new_york,buy,fvg_continuation,71.9,STRONG,True,[],5067.16,discount,bullish,True,38.86,80.7,33.48918,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-05 21:30:00,2026-03-05,new_york,buy,fvg_continuation,72.1,STRONG,True,[],5062.44,discount,bullish,True,38.86,80.7,33.48918,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-05 21:35:00,2026-03-05,new_york,buy,fvg_continuation,72.1,STRONG,True,[],5059.76,discount,bullish,True,38.48,80.7,33.48918,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-05 21:40:00,2026-03-05,new_york,buy,fvg_continuation,72.1,STRONG,True,[],5063.82,discount,bullish,True,38.48,80.7,33.48918,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-05 21:45:00,2026-03-05,new_york,buy,ob_fvg_stack,72.1,STRONG,True,[],5066.81,discount,bullish,True,38.48,80.7,33.48918,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-05 21:50:00,2026-03-05,new_york,buy,ob_fvg_stack,73.9,STRONG,True,[],5067.22,discount,bullish,True,38.68,80.7,33.48918,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
